,Customer ID,Monetary,Frequency,Recency,RecencyCluster,FrequencyCluster,MonetaryCluster,OverallScore,Segment
32,AJ-1078045,1417.6214999999997,7,339,2,2,2,6,High-Value
33,AJ-107951408,1725.844,8,474,2,2,2,6,High-Value
34,AJ-1079582,655.188,5,303,2,2,2,6,High-Value
35,AJ-1096031,1545.2618799999998,8,568,2,2,2,6,High-Value
36,AJ-960134,557.6280000000002,8,294,2,2,2,6,High-Value
37,AM-103607,741.9870000000001,5,505,2,2,2,6,High-Value
38,AM-10705125,3933.8999999999996,5,477,2,2,2,6,High-Value
39,AM-107057,4416.876000000001,7,322,2,2,2,6,High-Value
40,AO-10810139,1997.85,5,523,2,2,2,6,High-Value
41,AO-1081045,894.8099999999998,5,589,2,2,2,6,High-Value
42,AP-107201404,1018.302,7,389,2,2,2,6,High-Value
43,AP-1072027,2410.5,5,470,2,2,2,6,High-Value
44,AP-91538,698.73,5,562,2,2,2,6,High-Value
45,AR-1034518,771.2239999999999,5,315,2,2,2,6,High-Value
46,AR-1034559,1879.5335999999998,7,509,2,2,2,6,High-Value
47,AR-1040534,696.075,6,463,2,2,2,6,High-Value
48,AR-1040582,1024.89488,7,548,2,2,2,6,High-Value
49,AR-105101406,195.744,5,369,2,2,2,6,High-Value
50,AR-1051064,3106.476,6,419,2,2,2,6,High-Value
51,AR-510134,771.9480000000001,6,378,2,2,2,6,High-Value
52,AR-57033,645.9599999999999,5,593,2,2,2,6,High-Value
53,AS-10045139,1562.2500000000002,8,327,2,2,2,6,High-Value
54,AS-1009018,1408.95472,5,560,2,2,2,6,High-Value
55,AS-1013527,927.45,7,382,2,2,2,6,High-Value
56,AS-10225139,2194.5,5,551,2,2,2,6,High-Value
57,AS-102255,267.31199999999995,5,404,2,2,2,6,High-Value
58,AS-1063092,6670.236000000001,5,380,2,2,2,6,High-Value
59,AS-13563,3335.0399999999995,5,446,2,2,2,6,High-Value
60,AS-2854,910.56,6,574,2,2,2,6,High-Value
61,AT-435134,186.09600000000006,5,323,2,2,2,6,High-Value
62,AZ-75095,295.4790000000001,5,636,2,2,2,6,High-Value
63,BB-1099059,1096.9170000000001,6,457,2,2,2,6,High-Value
64,BC-111251406,669.378,5,505,2,2,2,6,High-Value
65,BD-1132091,427.545,5,337,2,2,2,6,High-Value
66,BD-1163548,936.6120000000001,7,442,2,2,2,6,High-Value
67,BD-1172551,1639.8442800000003,5,436,2,2,2,6,High-Value
68,BD-117701406,428.874,5,327,2,2,2,6,High-Value
69,BD-1177039,1210.2400000000002,5,552,2,2,2,6,High-Value
70,BD-163560,732.54,6,398,2,2,2,6,High-Value
71,BE-1133564,1015.5600000000001,5,565,2,2,2,6,High-Value
72,BE-11410102,920.2305,5,386,2,2,2,6,High-Value
73,BF-1100545,2684.4749999999995,7,497,2,2,2,6,High-Value
74,BF-111701408,1803.9339999999997,8,622,2,2,2,6,High-Value
75,BF-1117082,2020.45524,5,304,2,2,2,6,High-Value
76,BF-112151404,780.086,5,292,2,2,2,6,High-Value
77,BF-1121527,1040.346,5,378,2,2,2,6,High-Value
78,BG-110351402,244.47200000000004,5,408,2,2,2,6,High-Value
79,BG-1103518,850.7400000000001,5,372,2,2,2,6,High-Value
80,BG-1103551,1232.38,5,481,2,2,2,6,High-Value
81,BG-1103582,355.38000000000005,5,464,2,2,2,6,High-Value
82,BG-116951406,966.0659999999999,5,579,2,2,2,6,High-Value
83,BK-1126048,1940.5500000000002,7,577,2,2,2,6,High-Value
84,BM-111401406,611.0279999999999,6,391,2,2,2,6,High-Value
85,BM-1114048,989.0100000000001,5,420,2,2,2,6,High-Value
86,BM-1114055,1345.8193999999999,7,408,2,2,2,6,High-Value
87,BM-1165036,661.34788,5,499,2,2,2,6,High-Value
88,BM-117851406,175.46599999999998,8,365,2,2,2,6,High-Value
89,BM-117858,1029.15,5,562,2,2,2,6,High-Value
90,BO-1142545,2689.872,8,442,2,2,2,6,High-Value
91,BO-1350134,139.332,7,328,2,2,2,6,High-Value
92,BP-1105092,529.7040000000001,5,363,2,2,2,6,High-Value
93,BP-1118518,1461.7599999999998,6,449,2,2,2,6,High-Value
94,BP-112901402,510.28599999999994,5,578,2,2,2,6,High-Value
95,BS-1138082,767.936,6,635,2,2,2,6,High-Value
96,BS-116657,3880.089000000001,5,554,2,2,2,6,High-Value
97,BT-11305102,1271.3519999999996,6,356,2,2,2,6,High-Value
98,BT-113051404,2550.536,8,336,2,2,2,6,High-Value
99,BT-1130526,862.3199999999998,6,405,2,2,2,6,High-Value
100,BT-113951404,781.352,5,302,2,2,2,6,High-Value
101,BT-1148564,949.3019999999999,5,485,2,2,2,6,High-Value
102,BV-112451402,340.21999999999997,6,334,2,2,2,6,High-Value
103,BW-106533,8721.779999999999,6,642,2,2,2,6,High-Value
104,BW-111101406,342.48999999999995,6,385,2,2,2,6,High-Value
105,BW-1120018,997.4719999999999,6,390,2,2,2,6,High-Value
106,CA-12265139,7838.61,8,583,2,2,2,6,High-Value
107,CA-1226527,964.6199999999998,7,575,2,2,2,6,High-Value
108,CA-1277558,10463.01,8,567,2,2,2,6,High-Value
109,CA-2775134,567.48,5,309,2,2,2,6,High-Value
110,CB-120251402,2903.2129999999997,7,328,2,2,2,6,High-Value
111,CB-1241593,2809.4032,5,390,2,2,2,6,High-Value
112,CB-125351404,1467.6075,5,418,2,2,2,6,High-Value
113,CC-121001406,170.265,5,541,2,2,2,6,High-Value
114,CC-1210055,199.752,5,372,2,2,2,6,High-Value
115,CC-121451404,2381.8300000000004,8,491,2,2,2,6,High-Value
116,CC-122201402,1085.0519999999997,6,455,2,2,2,6,High-Value
117,CC-1237059,2039.2043999999996,6,457,2,2,2,6,High-Value
118,CC-124307,2443.3920000000007,7,379,2,2,2,6,High-Value
119,CC-12475139,867.3000000000001,5,378,2,2,2,6,High-Value
120,CC-12670101,1007.0912,6,561,2,2,2,6,High-Value
121,CC-2145134,437.88,6,504,2,2,2,6,High-Value
122,CC-222023,942.54,8,485,2,2,2,6,High-Value
123,CC-268586,1885.4099999999999,6,448,2,2,2,6,High-Value
124,CD-1192098,370.88399999999996,7,616,2,2,2,6,High-Value
125,CD-1198045,1473.702,6,411,2,2,2,6,High-Value
126,CD-1198048,1605.2130000000002,8,372,2,2,2,6,High-Value
127,CD-1228036,628.144,7,477,2,2,2,6,High-Value
128,CD-1228045,1634.1719999999998,5,520,2,2,2,6,High-Value
129,CD-127901402,1058.27,6,441,2,2,2,6,High-Value
130,CG-12520139,1871.8500000000001,6,558,2,2,2,6,High-Value
131,CG-1252051,1974.38752,6,615,2,2,2,6,High-Value
132,CG-2040134,483.12,5,378,2,2,2,6,High-Value
133,CH-1207048,594.4200000000001,5,391,2,2,2,6,High-Value
134,CH-207057,1124.1899999999998,7,498,2,2,2,6,High-Value
135,CK-12205102,1087.182,7,419,2,2,2,6,High-Value
136,CK-123251406,1448.853,5,316,2,2,2,6,High-Value
137,CK-1259528,799.54,5,512,2,2,2,6,High-Value
138,CK-127601406,429.55,7,412,2,2,2,6,High-Value
139,CK-232561,1677.3000000000002,5,373,2,2,2,6,High-Value
140,CK-259560,547.08,6,615,2,2,2,6,High-Value
141,CK-2760111,1340.76,6,490,2,2,2,6,High-Value
142,CL-127001404,1876.916,5,462,2,2,2,6,High-Value
143,CM-11830120,3396.84,5,638,2,2,2,6,High-Value
144,CM-11830144,1679.4858000000002,5,603,2,2,2,6,High-Value
145,CM-1183048,914.2800000000001,6,505,2,2,2,6,High-Value
146,CM-12160102,986.4495000000001,6,316,2,2,2,6,High-Value
147,CM-1223528,1608.4951599999997,5,587,2,2,2,6,High-Value
148,CM-124451404,155.04000000000002,6,460,2,2,2,6,High-Value
149,CM-12655124,3227.2650000000003,6,327,2,2,2,6,High-Value
150,CM-183095,381.08699999999993,5,380,2,2,2,6,High-Value
151,CP-1234018,812.9736,5,565,2,2,2,6,High-Value
152,CR-126257,4911.813000000001,8,323,2,2,2,6,High-Value
153,CR-1273028,3185.359999999999,7,376,2,2,2,6,High-Value
154,CR-127307,5907.951000000001,8,440,2,2,2,6,High-Value
155,CS-118457,460.56000000000006,6,299,2,2,2,6,High-Value
156,CS-1195018,1615.6390399999998,5,572,2,2,2,6,High-Value
157,CS-1195034,256.875,5,502,2,2,2,6,High-Value
158,CS-121301404,795.8400000000001,6,489,2,2,2,6,High-Value
159,CS-1213045,1191.8819999999998,6,470,2,2,2,6,High-Value
160,CS-1246011,3611.49,5,295,2,2,2,6,High-Value
161,CS-12490124,582.8040000000001,6,575,2,2,2,6,High-Value
162,CS-124901406,403.26399999999995,7,621,2,2,2,6,High-Value
163,CT-119951406,1586.3320000000003,5,399,2,2,2,6,High-Value
164,CV-12295139,367.2,5,407,2,2,2,6,High-Value
165,CW-119051404,94.42800000000001,5,421,2,2,2,6,High-Value
166,CY-1274582,2806.9792,5,367,2,2,2,6,High-Value
167,Co-1264066,1496.97,6,536,2,2,2,6,High-Value
168,DA-134501406,130.51199999999997,5,352,2,2,2,6,High-Value
169,DA-1345058,2270.0100000000007,5,600,2,2,2,6,High-Value
170,DB-12910139,2081.349,6,478,2,2,2,6,High-Value
171,DB-130607,4955.04,5,370,2,2,2,6,High-Value
172,DB-1321036,978.72,5,408,2,2,2,6,High-Value
173,DB-132701406,2845.0719999999997,5,393,2,2,2,6,High-Value
174,DB-1336045,1297.128,7,380,2,2,2,6,High-Value
175,DB-13555139,560.3040000000001,6,306,2,2,2,6,High-Value
176,DB-1355559,373.7115,5,385,2,2,2,6,High-Value
177,DB-3060117,405.59999999999997,5,503,2,2,2,6,High-Value
178,DB-32703,661.4699999999999,5,531,2,2,2,6,High-Value
179,DC-1285027,1358.775,7,376,2,2,2,6,High-Value
180,DC-1328518,1778.0703999999994,5,618,2,2,2,6,High-Value
181,DC-1328555,403.0199999999999,6,376,2,2,2,6,High-Value
182,DD-1357048,2660.712,6,415,2,2,2,6,High-Value
183,DD-1357082,207.70000000000002,5,566,2,2,2,6,High-Value
184,DE-1325582,145.98,5,576,2,2,2,6,High-Value
185,DH-1307545,1395.9705,6,495,2,2,2,6,High-Value
186,DJ-134205,415.63800000000003,8,432,2,2,2,6,High-Value
187,DJ-1342058,1768.86,6,348,2,2,2,6,High-Value
188,DK-1289555,735.336,5,369,2,2,2,6,High-Value
189,DK-129857,189.70200000000003,5,293,2,2,2,6,High-Value
190,DK-1315048,5481.252000000001,6,376,2,2,2,6,High-Value
191,DK-13375120,1400.025,7,449,2,2,2,6,High-Value
192,DL-128651404,1059.088,7,461,2,2,2,6,High-Value
193,DL-1292518,381.50399999999996,5,460,2,2,2,6,High-Value
194,DL-1333058,3754.4700000000003,5,506,2,2,2,6,High-Value
195,DL-13495120,1495.5720000000001,5,384,2,2,2,6,High-Value
196,DM-1295548,1235.154,6,615,2,2,2,6,High-Value
197,DM-3345134,4638.72,5,461,2,2,2,6,High-Value
198,DN-136901404,951.4300000000001,6,373,2,2,2,6,High-Value
199,DP-1310598,1208.3999999999996,5,642,2,2,2,6,High-Value
200,DP-133901404,4941.676000000001,7,435,2,2,2,6,High-Value
201,DR-129401406,6937.87,7,452,2,2,2,6,High-Value
202,DR-1294092,457.692,5,577,2,2,2,6,High-Value
203,DS-1303045,1321.4669999999999,6,312,2,2,2,6,High-Value
204,DS-131801406,900.0680000000001,6,397,2,2,2,6,High-Value
205,DS-1318082,886.36,5,580,2,2,2,6,High-Value
206,DS-31803,177.71999999999997,5,323,2,2,2,6,High-Value
207,DV-304595,102.14100000000003,7,630,2,2,2,6,High-Value
208,DW-134801402,3760.4100000000003,6,497,2,2,2,6,High-Value
209,DW-1348048,1151.73,5,494,2,2,2,6,High-Value
210,DW-135407,1821.978,6,291,2,2,2,6,High-Value
211,EA-140357,1888.38,6,303,2,2,2,6,High-Value
212,EB-137501406,2034.036,8,414,2,2,2,6,High-Value
213,EB-1384027,1741.17,6,478,2,2,2,6,High-Value
214,EB-1384048,2300.9759999999997,8,583,2,2,2,6,High-Value
215,EB-139307,929.838,8,455,2,2,2,6,High-Value
216,EB-13975139,3317.46,6,551,2,2,2,6,High-Value
217,EB-1397593,675.1400000000001,5,411,2,2,2,6,High-Value
218,EB-1411048,3757.8420000000006,5,589,2,2,2,6,High-Value
219,EC-405029,489.96000000000004,6,408,2,2,2,6,High-Value
220,ED-138851404,595.31,6,314,2,2,2,6,High-Value
221,EG-390095,928.1790000000001,6,370,2,2,2,6,High-Value
222,EH-1376527,3404.31,6,514,2,2,2,6,High-Value
223,EH-139451402,296.66799999999995,8,406,2,2,2,6,High-Value
224,EH-1394559,393.54750000000007,6,406,2,2,2,6,High-Value
225,EH-1394564,1469.79,5,317,2,2,2,6,High-Value
226,EH-141251404,504.531,5,334,2,2,2,6,High-Value
227,EH-376595,389.934,8,548,2,2,2,6,High-Value
228,EH-3945117,942.9,6,294,2,2,2,6,High-Value
229,EJ-137201404,1646.4620000000002,5,302,2,2,2,6,High-Value
230,EJ-1372018,1612.2,6,431,2,2,2,6,High-Value
231,EL-3735117,1430.97,7,450,2,2,2,6,High-Value
232,EM-1382566,2299.77,5,519,2,2,2,6,High-Value
233,EM-1406548,5503.362000000001,6,594,2,2,2,6,High-Value
234,EM-140951404,455.89200000000005,7,418,2,2,2,6,High-Value
235,EM-14095144,1294.8266999999998,6,595,2,2,2,6,High-Value
236,EM-1409545,2131.188,5,460,2,2,2,6,High-Value
237,EM-1414011,3611.52,6,348,2,2,2,6,High-Value
238,EM-141401402,1282.61,8,579,2,2,2,6,High-Value
239,EM-1414048,454.974,6,428,2,2,2,6,High-Value
240,EM-141405,569.0260799999999,6,454,2,2,2,6,High-Value
241,EM-1420018,211.98000000000002,7,296,2,2,2,6,High-Value
242,EN-137801406,2091.834,7,574,2,2,2,6,High-Value
243,EP-139151408,277.242,5,364,2,2,2,6,High-Value
244,EP-1391548,1336.29,7,365,2,2,2,6,High-Value
245,ES-1408082,317.00000000000006,7,367,2,2,2,6,High-Value
246,FA-142301408,820.4200000000002,7,405,2,2,2,6,High-Value
247,FA-1423059,441.24929999999995,6,546,2,2,2,6,High-Value
248,FA-1423064,1357.926,5,447,2,2,2,6,High-Value
249,FC-142451404,645.854,6,299,2,2,2,6,High-Value
250,FC-1424528,2411.7,7,529,2,2,2,6,High-Value
251,FC-143351404,3627.7339999999995,6,328,2,2,2,6,High-Value
252,FM-142151408,898.1100000000001,6,466,2,2,2,6,High-Value
253,FM-1421518,206.544,5,511,2,2,2,6,High-Value
254,FM-421586,1657.5900000000001,6,468,2,2,2,6,High-Value
255,FO-1430548,2711.9100000000003,5,472,2,2,2,6,High-Value
256,GA-1451582,282.91599999999994,6,561,2,2,2,6,High-Value
257,GA-1472527,3811.980000000001,7,478,2,2,2,6,High-Value
258,GA-1472564,487.02,5,489,2,2,2,6,High-Value
259,GB-145301404,324.404,7,546,2,2,2,6,High-Value
260,GD-1459064,2105.094,8,461,2,2,2,6,High-Value
261,GD-1459082,3025.9907999999996,7,370,2,2,2,6,High-Value
262,GH-1442527,2177.79,5,524,2,2,2,6,High-Value
263,GH-14485139,3336.3599999999997,5,414,2,2,2,6,High-Value
264,GH-442586,1149.36,6,349,2,2,2,6,High-Value
265,GK-14620101,516.492,7,625,2,2,2,6,High-Value
266,GM-145001406,815.134,6,552,2,2,2,6,High-Value
267,GM-1450098,1710.3406799999998,5,344,2,2,2,6,High-Value
268,GM-146801404,2023.5440000000003,8,569,2,2,2,6,High-Value
269,GM-14695139,2321.004,6,344,2,2,2,6,High-Value
270,GP-4740134,169.188,6,502,2,2,2,6,High-Value
271,GR-145607,669.033,6,322,2,2,2,6,High-Value
272,GT-147101404,1240.334,8,389,2,2,2,6,High-Value
273,GT-1471031,898.28496,6,582,2,2,2,6,High-Value
274,GT-1475558,719.5499999999998,8,341,2,2,2,6,High-Value
275,GT-4710108,526.95,5,569,2,2,2,6,High-Value
276,GW-460595,110.34900000000002,5,474,2,2,2,6,High-Value
277,GZ-1447048,2701.0199999999995,5,309,2,2,2,6,High-Value
278,GZ-144707,1899.4859999999999,7,391,2,2,2,6,High-Value
279,GZ-145457,396.585,5,524,2,2,2,6,High-Value
280,HD-4785117,2143.38,6,537,2,2,2,6,High-Value
281,HD-478533,284.54999999999995,7,469,2,2,2,6,High-Value
282,HE-1480082,1724.73264,5,518,2,2,2,6,High-Value
283,HE-4800108,463.53,5,328,2,2,2,6,High-Value
284,HF-14995139,1406.22,8,417,2,2,2,6,High-Value
285,HF-149951404,1233.245,8,630,2,2,2,6,High-Value
286,HF-149951408,825.129,5,398,2,2,2,6,High-Value
287,HF-4995111,975.0900000000001,5,390,2,2,2,6,High-Value
288,HF-499560,204.39000000000001,6,587,2,2,2,6,High-Value
289,HG-1484536,2396.73632,5,299,2,2,2,6,High-Value
290,HH-1501058,2696.2199999999993,5,596,2,2,2,6,High-Value
291,HH-150107,893.646,5,415,2,2,2,6,High-Value
292,HM-1486018,4655.344,6,393,2,2,2,6,High-Value
293,HR-1483064,990.27,6,356,2,2,2,6,High-Value
294,IG-1508545,1472.5500000000002,6,337,2,2,2,6,High-Value
295,IG-50854,1313.94,8,432,2,2,2,6,High-Value
296,IM-1505559,227.40540000000001,5,511,2,2,2,6,High-Value
297,IM-150701406,627.7700000000001,6,555,2,2,2,6,High-Value
298,JA-159701402,477.49999999999994,6,485,2,2,2,6,High-Value
299,JB-1592548,2998.6530000000002,6,580,2,2,2,6,High-Value
300,JC-1534027,369.12,5,371,2,2,2,6,High-Value
301,JC-538529,393.03,5,475,2,2,2,6,High-Value
302,JD-158951404,1884.43,8,425,2,2,2,6,High-Value
303,JD-158951408,2344.4299999999994,8,394,2,2,2,6,High-Value
304,JD-1601536,850.776,7,298,2,2,2,6,High-Value
305,JD-160601402,483.48199999999997,5,300,2,2,2,6,High-Value
306,JD-161501404,3565.1145,8,471,2,2,2,6,High-Value
307,JE-154751402,60.44,5,403,2,2,2,6,High-Value
308,JE-1571548,430.06200000000007,5,411,2,2,2,6,High-Value
309,JE-1574559,3049.3787999999995,8,558,2,2,2,6,High-Value
310,JE-1616559,1387.7099999999998,5,513,2,2,2,6,High-Value
311,JF-1519058,1276.0799999999997,5,425,2,2,2,6,High-Value
312,JF-1519064,1779.3899999999999,6,609,2,2,2,6,High-Value
313,JF-15295113,1200.33,5,615,2,2,2,6,High-Value
314,JF-15295120,4328.238,5,445,2,2,2,6,High-Value
315,JF-1529536,1082.4800000000002,5,439,2,2,2,6,High-Value
316,JF-155657,2111.8860000000004,5,470,2,2,2,6,High-Value
317,JF-5190134,2525.5680000000007,7,327,2,2,2,6,High-Value
318,JF-5565134,349.98,5,551,2,2,2,6,High-Value
319,JF-556533,2753.1900000000005,5,506,2,2,2,6,High-Value
320,JF-556538,614.13,6,420,2,2,2,6,High-Value
321,JG-1511539,914.8,6,504,2,2,2,6,High-Value
322,JG-1580527,4063.8900000000003,7,502,2,2,2,6,High-Value
323,JG-1580545,1400.088,6,300,2,2,2,6,High-Value
324,JG-1580564,1178.9340000000002,8,407,2,2,2,6,High-Value
325,JG-158057,1732.455,8,583,2,2,2,6,High-Value
326,JH-1543039,638.02,8,419,2,2,2,6,High-Value
327,JH-1543059,1644.3552000000002,5,373,2,2,2,6,High-Value
328,JH-1582039,1398.1,7,442,2,2,2,6,High-Value
329,JH-1582064,2446.9379999999996,6,376,2,2,2,6,High-Value
330,JH-1591045,497.94000000000005,5,373,2,2,2,6,High-Value
331,JH-159107,778.95,5,330,2,2,2,6,High-Value
332,JH-1591092,1270.0500000000002,7,410,2,2,2,6,High-Value
333,JH-159851404,3281.254,8,420,2,2,2,6,High-Value
334,JH-1598551,1241.6000000000001,5,553,2,2,2,6,High-Value
335,JH-618061,3821.309999999999,6,628,2,2,2,6,High-Value
336,JJ-1544558,2460.84,5,349,2,2,2,6,High-Value
337,JJ-5760129,531.2579999999999,6,491,2,2,2,6,High-Value
338,JK-153701408,810.5600000000002,5,400,2,2,2,6,High-Value
339,JK-1562559,1239.1251000000002,5,343,2,2,2,6,High-Value
340,JK-157301408,1778.0860000000002,5,457,2,2,2,6,High-Value
341,JK-1573018,394.34000000000003,5,502,2,2,2,6,High-Value
342,JK-1612055,391.8960000000001,6,425,2,2,2,6,High-Value
343,JK-161207,1754.19,5,398,2,2,2,6,High-Value
344,JK-562523,2264.61,5,316,2,2,2,6,High-Value
345,JK-5730146,2696.85,8,483,2,2,2,6,High-Value
346,JL-1517545,2376.3600000000006,5,359,2,2,2,6,High-Value
347,JL-152351406,1091.5480000000002,5,573,2,2,2,6,High-Value
348,JL-155051406,510.684,5,631,2,2,2,6,High-Value
349,JL-5130108,3385.38,6,392,2,2,2,6,High-Value
350,JM-152501402,954.9020000000002,7,363,2,2,2,6,High-Value
351,JM-152651404,208.1,5,406,2,2,2,6,High-Value
352,JM-1526527,1583.31,6,384,2,2,2,6,High-Value
353,JM-1526531,588.9800000000001,7,295,2,2,2,6,High-Value
354,JM-1553564,824.52,5,333,2,2,2,6,High-Value
355,JM-1558026,1009.8400000000001,5,581,2,2,2,6,High-Value
356,JM-1558028,557.7800000000001,5,635,2,2,2,6,High-Value
357,JM-1558039,1240.9000000000003,6,490,2,2,2,6,High-Value
358,JM-161951406,250.89999999999998,5,411,2,2,2,6,High-Value
359,JM-5250122,1170.9299999999998,6,363,2,2,2,6,High-Value
360,JM-526577,478.14,5,484,2,2,2,6,High-Value
361,JP-1546045,1616.4899999999998,6,310,2,2,2,6,High-Value
362,JP-155201404,1549.9740000000002,7,501,2,2,2,6,High-Value
363,JP-16135120,1606.7099999999998,7,377,2,2,2,6,High-Value
364,JP-546060,1530.4499999999998,5,419,2,2,2,6,High-Value
365,JS-159401406,184.321,5,463,2,2,2,6,High-Value
366,JS-160301408,1110.5,6,529,2,2,2,6,High-Value
367,JS-1603059,5489.8311,7,609,2,2,2,6,High-Value
368,JS-160307,1642.95,6,462,2,2,2,6,High-Value
369,JW-1607548,3128.1720000000005,5,378,2,2,2,6,High-Value
370,KA-1652527,643.08,8,371,2,2,2,6,High-Value
371,KB-1640555,509.12399999999997,7,405,2,2,2,6,High-Value
372,KB-165851402,225.68,5,386,2,2,2,6,High-Value
373,KB-1658555,296.508,7,578,2,2,2,6,High-Value
374,KB-16600144,343.8315,5,383,2,2,2,6,High-Value
375,KB-631533,938.01,6,391,2,2,2,6,High-Value
376,KC-162551408,2033.29,7,407,2,2,2,6,High-Value
377,KC-165407,4029.669,5,448,2,2,2,6,High-Value
378,KC-1667518,1970.63364,8,299,2,2,2,6,High-Value
379,KD-162701406,6241.281999999999,6,484,2,2,2,6,High-Value
380,KD-164951402,1007.354,5,365,2,2,2,6,High-Value
381,KD-1649548,664.41,5,296,2,2,2,6,High-Value
382,KD-649515,875.52,5,398,2,2,2,6,High-Value
383,KE-164201404,508.488,7,461,2,2,2,6,High-Value
384,KE-164207,207.765,5,310,2,2,2,6,High-Value
385,KH-163601402,1232.7800000000002,6,518,2,2,2,6,High-Value
386,KH-16510102,1713.0059999999994,6,317,2,2,2,6,High-Value
387,KH-1651058,3124.95,7,376,2,2,2,6,High-Value
388,KH-1663048,838.9499999999999,6,607,2,2,2,6,High-Value
389,KH-6630134,237.996,6,484,2,2,2,6,High-Value
390,KL-165551404,1018.6800000000002,7,364,2,2,2,6,High-Value
391,KL-1655582,627.4360000000001,5,411,2,2,2,6,High-Value
392,KL-6645117,795.8100000000001,7,568,2,2,2,6,High-Value
393,KM-163751404,915.74,7,313,2,2,2,6,High-Value
394,KM-1637545,1566.6960000000001,6,340,2,2,2,6,High-Value
395,KM-1666027,848.5799999999998,6,370,2,2,2,6,High-Value
396,KN-1645027,1594.6499999999999,5,373,2,2,2,6,High-Value
397,KS-1630031,456.26435999999995,5,306,2,2,2,6,High-Value
398,KS-1630048,483.01199999999994,5,406,2,2,2,6,High-Value
399,KT-164651404,1292.786,6,391,2,2,2,6,High-Value
400,KT-1646527,1425.3,6,551,2,2,2,6,High-Value
401,LA-167801406,2123.71,8,401,2,2,2,6,High-Value
402,LA-1678045,3609.0930000000003,8,442,2,2,2,6,High-Value
403,LB-1679558,7596.450000000001,8,305,2,2,2,6,High-Value
404,LB-1679598,333.86031999999994,5,436,2,2,2,6,High-Value
405,LB-6795134,336.18,5,560,2,2,2,6,High-Value
406,LC-1687048,682.92,6,494,2,2,2,6,High-Value
407,LC-169301404,2764.7360000000003,7,475,2,2,2,6,High-Value
408,LC-1693048,793.5000000000001,8,488,2,2,2,6,High-Value
409,LC-1696064,1592.994,6,291,2,2,2,6,High-Value
410,LC-1714045,822.1920000000001,5,411,2,2,2,6,High-Value
411,LC-1714064,2424.09,7,529,2,2,2,6,High-Value
412,LD-16855139,3275.4900000000002,5,473,2,2,2,6,High-Value
413,LD-168555,436.6,6,615,2,2,2,6,High-Value
414,LD-1685582,1472.06948,6,596,2,2,2,6,High-Value
415,LD-7005134,95.21999999999998,5,485,2,2,2,6,High-Value
416,LE-168107,1683.2340000000004,7,341,2,2,2,6,High-Value
417,LF-171851406,1021.4390000000001,5,317,2,2,2,6,High-Value
418,LH-169001406,450.04600000000005,5,558,2,2,2,6,High-Value
419,LH-169001408,1406.856,6,387,2,2,2,6,High-Value
420,LH-1690059,1055.4497999999999,5,611,2,2,2,6,High-Value
421,LH-171551402,625.0889999999999,5,386,2,2,2,6,High-Value
422,LL-168401408,2614.71,7,316,2,2,2,6,High-Value
423,LL-684086,208.23,7,489,2,2,2,6,High-Value
424,LP-1708082,1486.62,5,412,2,2,2,6,High-Value
425,LP-17095102,1347.6915,6,313,2,2,2,6,High-Value
