,Customer ID,RECENCY,FREQUENCY,MONETARY,FINAL_CLUSTER,SEGMENT
2277,15161.0,387,23,79.70000000000002,2,Mid-Value
1336,14190.0,665,1,79.9,0,Lost Customer
3265,16165.0,504,1,79.9,0,Lost Customer
5228,18166.0,623,4,80.1,0,Lost Customer
2247,15131.0,394,7,80.28000000000002,2,Mid-Value
3031,15927.0,646,10,80.29000000000002,0,Lost Customer
4821,17752.0,358,1,80.64,2,Mid-Value
1787,14652.0,76,20,80.64,1,Low-Value
3689,16597.0,3,5,80.68,1,Low-Value
4830,17762.0,455,12,80.9,2,Mid-Value
4419,17336.0,471,1,81.12,2,Mid-Value
3170,16068.0,593,17,81.13,0,Lost Customer
2286,15170.0,406,4,81.15,2,Mid-Value
4094,17008.0,428,1,81.36,2,Mid-Value
3756,16664.0,568,6,81.45,0,Lost Customer
3789,16697.0,240,16,81.55,2,Mid-Value
189,13006.0,55,4,81.57,1,Low-Value
395,13215.0,401,1,81.6,2,Mid-Value
1856,14721.0,378,17,82.07000000000001,2,Mid-Value
3131,16028.0,595,5,82.2,0,Lost Customer
1488,14347.0,736,6,82.60000000000001,0,Lost Customer
2211,15094.0,462,5,83.0,2,Mid-Value
3975,16886.0,455,5,83.0,2,Mid-Value
2997,15892.0,668,21,83.13,0,Lost Customer
350,13170.0,26,20,83.25000000000001,1,Low-Value
4174,17089.0,385,3,83.44999999999999,2,Mid-Value
4958,17893.0,224,10,83.80000000000001,2,Mid-Value
2528,15417.0,84,5,83.80000000000001,1,Low-Value
5036,17972.0,241,16,83.89,2,Mid-Value
3610,16516.0,29,5,84.3,1,Low-Value
817,13653.0,487,5,84.65,0,Lost Customer
2876,15770.0,612,5,84.9,0,Lost Customer
4202,17118.0,317,5,84.96,2,Mid-Value
299,13119.0,668,7,85.00000000000001,0,Lost Customer
994,13841.0,252,1,85.0,2,Mid-Value
1907,14773.0,592,6,85.3,0,Lost Customer
3690,16598.0,285,6,85.5,2,Mid-Value
2455,15340.0,561,6,85.7,0,Lost Customer
47,12858.0,382,19,85.92000000000002,2,Mid-Value
3041,15937.0,63,4,85.95,1,Low-Value
4260,17177.0,504,17,86.00000000000001,0,Lost Customer
360,13180.0,606,4,86.10000000000001,0,Lost Customer
4831,17763.0,262,14,86.15,2,Mid-Value
2646,15537.0,162,17,86.57000000000002,1,Low-Value
86,12902.0,264,6,86.69000000000001,2,Mid-Value
2444,15328.0,407,6,86.84,2,Mid-Value
1773,14637.0,676,6,86.88,0,Lost Customer
2954,15848.0,621,17,86.94,0,Lost Customer
2125,15008.0,479,3,87.2,0,Lost Customer
1707,14571.0,424,14,87.55000000000001,2,Mid-Value
148,12964.0,436,17,87.79,2,Mid-Value
402,13222.0,576,1,88.5,0,Lost Customer
3350,16251.0,511,13,88.61,0,Lost Customer
5004,17939.0,159,10,88.85000000000002,1,Low-Value
2520,15409.0,720,6,89.45,0,Lost Customer
700,13535.0,402,1,89.5,2,Mid-Value
3163,16061.0,430,3,89.65,2,Mid-Value
4852,17784.0,549,17,89.65999999999998,0,Lost Customer
3594,16498.0,160,12,89.72000000000001,1,Low-Value
2440,15324.0,700,5,89.82000000000001,0,Lost Customer
5208,18146.0,140,5,89.85000000000001,1,Low-Value
2795,15686.0,419,1,90.0,2,Mid-Value
1824,14689.0,208,10,90.14999999999999,2,Mid-Value
802,13638.0,15,6,90.30000000000001,1,Low-Value
3602,16506.0,19,3,90.30000000000001,1,Low-Value
1576,14435.0,501,3,90.42,0,Lost Customer
4632,17559.0,512,7,90.46000000000001,0,Lost Customer
2492,15378.0,462,4,90.5,2,Mid-Value
2608,15499.0,723,22,90.70000000000003,0,Lost Customer
591,13419.0,63,6,90.7,1,Low-Value
1515,14374.0,540,6,91.0,0,Lost Customer
3013,15909.0,173,4,91.13999999999999,1,Low-Value
2055,14928.0,627,8,91.39000000000001,0,Lost Customer
1311,14165.0,275,17,91.45,2,Mid-Value
2719,15610.0,51,5,91.66,1,Low-Value
340,13160.0,21,4,91.8,1,Low-Value
3671,16578.0,625,5,91.8,0,Lost Customer
4380,17297.0,16,27,92.10000000000001,1,Low-Value
3009,15905.0,542,17,92.34000000000002,0,Lost Customer
1996,14865.0,6,6,92.52000000000001,1,Low-Value
5003,17938.0,419,17,92.89000000000003,2,Mid-Value
1225,14076.0,128,29,92.92,1,Low-Value
632,13460.0,28,8,92.96,1,Low-Value
2772,15663.0,105,6,93.13999999999999,1,Low-Value
1885,14750.0,735,20,93.19000000000001,0,Lost Customer
2342,15226.0,310,5,93.21,2,Mid-Value
373,13193.0,60,17,93.58,1,Low-Value
4358,17275.0,382,17,93.90000000000002,2,Mid-Value
2508,15397.0,289,6,94.0,2,Mid-Value
5079,18015.0,3,29,94.03,1,Low-Value
1768,14632.0,262,6,94.24,2,Mid-Value
3459,16363.0,52,4,94.36000000000001,1,Low-Value
1592,14453.0,189,16,94.53000000000002,1,Low-Value
2973,15868.0,582,4,94.53,0,Lost Customer
561,13387.0,416,28,94.63000000000001,2,Mid-Value
2401,15285.0,407,6,94.91999999999999,2,Mid-Value
951,13789.0,387,7,94.97999999999999,2,Mid-Value
2813,15705.0,200,3,95.4,1,Low-Value
2124,15007.0,158,9,95.71,1,Low-Value
4109,17024.0,44,3,95.85,1,Low-Value
1059,13907.0,691,3,96.0,0,Lost Customer
3931,16840.0,602,6,96.05000000000001,0,Lost Customer
4609,17535.0,279,7,96.1,2,Mid-Value
1778,14642.0,58,2,96.12,1,Low-Value
4483,17401.0,540,10,96.54999999999998,0,Lost Customer
3603,16507.0,571,22,96.56,0,Lost Customer
3028,15924.0,730,12,96.57000000000001,0,Lost Customer
1934,14801.0,60,30,96.84,1,Low-Value
4965,17900.0,189,5,97.19999999999999,1,Low-Value
4411,17328.0,672,5,97.2,0,Lost Customer
3966,16876.0,403,22,97.22000000000001,2,Mid-Value
4894,17826.0,373,20,97.39000000000001,2,Mid-Value
4478,17395.0,507,3,97.5,0,Lost Customer
4014,16925.0,539,14,97.5,0,Lost Customer
3166,16064.0,724,15,97.51000000000002,0,Lost Customer
725,13560.0,6,16,97.60000000000001,1,Low-Value
1503,14362.0,21,21,97.62,1,Low-Value
2020,14889.0,335,7,98.25,2,Mid-Value
3786,16694.0,722,3,98.30000000000001,0,Lost Customer
712,13547.0,407,21,98.64000000000001,2,Mid-Value
5192,18129.0,242,10,98.75,2,Mid-Value
860,13697.0,38,8,98.89999999999999,1,Low-Value
375,13195.0,413,27,99.08000000000001,2,Mid-Value
3184,16082.0,669,13,99.10000000000001,0,Lost Customer
5162,18099.0,126,12,99.13000000000001,1,Low-Value
2134,15017.0,33,15,99.43000000000002,1,Low-Value
1320,14174.0,32,20,99.50000000000001,1,Low-Value
654,13483.0,65,6,99.78,1,Low-Value
4231,17148.0,51,7,99.88,1,Low-Value
4643,17570.0,381,1,100.0,2,Mid-Value
3199,16097.0,239,5,100.25,2,Mid-Value
1777,14641.0,21,6,100.25999999999999,1,Low-Value
3492,16396.0,475,6,100.3,2,Mid-Value
2744,15635.0,395,2,100.35,2,Mid-Value
1718,14582.0,40,5,100.36,1,Low-Value
1512,14371.0,294,4,100.5,2,Mid-Value
5076,18012.0,722,10,100.6,0,Lost Customer
4507,17427.0,71,2,100.8,1,Low-Value
4307,17224.0,500,8,100.86000000000001,0,Lost Customer
4568,17493.0,384,8,100.91,2,Mid-Value
1005,13852.0,610,6,100.95,0,Lost Customer
4902,17836.0,46,18,101.00999999999999,1,Low-Value
4660,17587.0,627,20,101.00999999999998,0,Lost Customer
4810,17741.0,406,6,101.1,2,Mid-Value
1055,13903.0,399,6,101.10000000000002,2,Mid-Value
4234,17151.0,734,2,101.10000000000001,0,Lost Customer
5183,18120.0,213,15,101.1,2,Mid-Value
5149,18086.0,273,7,101.33999999999999,2,Mid-Value
3403,16305.0,138,7,101.56,1,Low-Value
5131,18068.0,288,1,101.69999999999999,2,Mid-Value
1490,14349.0,9,23,101.99000000000002,1,Low-Value
982,13829.0,420,1,102.0,2,Mid-Value
2595,15486.0,526,1,102.0,0,Lost Customer
2850,15742.0,618,21,102.12,0,Lost Customer
1968,14836.0,9,6,102.44999999999999,1,Low-Value
252,13071.0,611,10,102.47,0,Lost Customer
4543,17467.0,394,4,102.6,2,Mid-Value
2345,15229.0,585,6,102.9,0,Lost Customer
1681,14542.0,185,5,103.25000000000001,1,Low-Value
2868,15761.0,442,4,103.25,2,Mid-Value
3467,16371.0,448,7,103.95,2,Mid-Value
1624,14485.0,38,27,103.96,1,Low-Value
3336,16237.0,436,5,104.25,2,Mid-Value
3030,15926.0,541,5,104.44,0,Lost Customer
5166,18103.0,548,9,104.55,0,Lost Customer
3940,16849.0,186,7,104.67,1,Low-Value
3384,16285.0,645,17,105.1,0,Lost Customer
865,13702.0,445,4,105.17999999999999,2,Mid-Value
3006,15902.0,379,10,105.41,2,Mid-Value
371,13191.0,657,31,105.42000000000002,0,Lost Customer
4898,17832.0,49,27,105.46000000000002,1,Low-Value
2881,15775.0,244,6,105.5,2,Mid-Value
877,13714.0,464,17,105.70000000000002,2,Mid-Value
4724,17654.0,276,19,105.75,2,Mid-Value
3579,16483.0,191,13,105.9,1,Low-Value
153,12969.0,602,4,105.95,0,Lost Customer
1233,14084.0,511,5,106.1,0,Lost Customer
5271,18209.0,28,6,106.25,1,Low-Value
2284,15168.0,25,5,106.56,1,Low-Value
1364,14218.0,42,8,106.62,1,Low-Value
4964,17899.0,158,20,106.73999999999998,1,Low-Value
941,13779.0,515,17,106.8,0,Lost Customer
2568,15457.0,261,21,106.80000000000001,2,Mid-Value
1906,14772.0,111,7,106.86,1,Low-Value
1063,13912.0,423,6,107.1,2,Mid-Value
3493,16397.0,627,8,107.23,0,Lost Customer
3399,16301.0,736,6,107.33,0,Lost Customer
2605,15496.0,630,14,107.34,0,Lost Customer
2060,14943.0,662,5,107.62,0,Lost Customer
3388,16289.0,461,15,107.66000000000001,2,Mid-Value
1278,14131.0,648,25,107.85000000000002,0,Lost Customer
1796,14661.0,26,4,107.95,1,Low-Value
2015,14884.0,668,7,108.1,0,Lost Customer
879,13716.0,268,15,108.28000000000002,2,Mid-Value
956,13794.0,546,8,108.33000000000001,0,Lost Customer
3392,16294.0,476,7,108.35,0,Lost Customer
3208,16106.0,65,6,108.38,1,Low-Value
4952,17887.0,128,9,108.39999999999999,1,Low-Value
573,13399.0,463,6,108.45,2,Mid-Value
1990,14858.0,505,7,108.75,0,Lost Customer
1886,14751.0,683,6,108.75,0,Lost Customer
4048,16959.0,86,6,108.85000000000001,1,Low-Value
1486,14345.0,38,6,108.97999999999999,1,Low-Value
3105,16002.0,624,20,109.08,0,Lost Customer
4192,17108.0,663,5,109.14999999999999,0,Lost Customer
1182,14033.0,554,1,109.44,0,Lost Customer
4201,17117.0,287,8,109.59999999999998,2,Mid-Value
3153,16051.0,681,7,109.64,0,Lost Customer
2956,15851.0,526,8,109.72999999999999,0,Lost Customer
2379,15263.0,106,9,109.91000000000001,1,Low-Value
539,13364.0,70,8,110.06,1,Low-Value
4762,17693.0,136,9,110.09,1,Low-Value
1029,13876.0,63,6,110.1,1,Low-Value
1222,14073.0,31,9,110.16,1,Low-Value
2839,15731.0,553,7,110.3,0,Lost Customer
3955,16865.0,401,12,110.39999999999999,2,Mid-Value
1655,14516.0,515,21,110.83,0,Lost Customer
751,13586.0,540,15,110.83000000000001,0,Lost Customer
1603,14464.0,567,4,110.99999999999999,0,Lost Customer
5286,18224.0,263,7,111.25,2,Mid-Value
2885,15779.0,462,7,111.33,2,Mid-Value
4692,17619.0,311,31,111.44,2,Mid-Value
4387,17304.0,533,5,111.50000000000001,0,Lost Customer
5328,18266.0,433,6,111.6,2,Mid-Value
4631,17558.0,392,17,111.72,2,Mid-Value
324,13144.0,332,5,111.75,2,Mid-Value
2189,15072.0,478,7,111.91999999999999,0,Lost Customer
5151,18088.0,60,23,112.12,1,Low-Value
2612,15503.0,362,36,112.13000000000002,2,Mid-Value
4212,17128.0,334,9,112.19000000000001,2,Mid-Value
5108,18045.0,44,26,112.19,1,Low-Value
3737,16645.0,735,10,112.21000000000001,0,Lost Customer
5170,18107.0,441,20,112.28000000000002,2,Mid-Value
785,13620.0,527,5,112.34000000000002,0,Lost Customer
1634,14495.0,50,4,112.39999999999999,1,Low-Value
4617,17543.0,549,12,112.54999999999998,0,Lost Customer
215,13033.0,356,7,112.55000000000001,2,Mid-Value
2841,15733.0,282,7,112.60000000000001,2,Mid-Value
4950,17885.0,11,29,112.71000000000001,1,Low-Value
4940,17875.0,687,18,112.85,0,Lost Customer
3387,16288.0,469,6,112.85000000000001,2,Mid-Value
4323,17240.0,595,6,112.89999999999999,0,Lost Customer
1809,14674.0,508,8,113.02,0,Lost Customer
3732,16640.0,397,7,113.10000000000001,2,Mid-Value
3346,16247.0,169,15,113.10999999999999,1,Low-Value
3754,16662.0,393,20,113.15,2,Mid-Value
981,13828.0,21,8,113.32999999999998,1,Low-Value
3912,16821.0,381,7,113.35000000000001,2,Mid-Value
305,13125.0,523,16,113.37,0,Lost Customer
595,13423.0,428,6,113.49,2,Mid-Value
1596,14457.0,310,4,113.64,2,Mid-Value
2173,15056.0,519,6,113.64999999999999,0,Lost Customer
4998,17933.0,631,13,113.84,0,Lost Customer
1740,14604.0,632,15,113.91,0,Lost Customer
122,12938.0,25,9,114.14,1,Low-Value
4866,17798.0,581,26,114.14,0,Lost Customer
1424,14280.0,196,7,114.24,1,Low-Value
4544,17468.0,9,5,114.4,1,Low-Value
2116,14999.0,592,8,114.47999999999999,0,Lost Customer
983,13830.0,581,8,114.55000000000001,0,Lost Customer
1861,14726.0,654,14,114.55,0,Lost Customer
368,13188.0,10,2,114.60000000000001,1,Low-Value
1583,14444.0,455,10,114.64,2,Mid-Value
235,13053.0,621,14,114.64999999999999,0,Lost Customer
2942,15836.0,49,8,114.67,1,Low-Value
829,13666.0,59,16,114.75000000000001,1,Low-Value
1481,14340.0,218,5,114.9,2,Mid-Value
5200,18137.0,550,19,115.34000000000002,0,Lost Customer
2435,15319.0,283,7,115.60000000000001,2,Mid-Value
435,13257.0,435,6,115.85,2,Mid-Value
3919,16828.0,92,7,115.9,1,Low-Value
3027,15923.0,372,18,115.98000000000002,2,Mid-Value
2514,15403.0,491,5,116.16,0,Lost Customer
2005,14874.0,534,6,116.18,0,Lost Customer
3686,16594.0,74,25,116.19000000000001,1,Low-Value
2062,14945.0,413,7,116.39999999999999,2,Mid-Value
4219,17136.0,661,7,116.57,0,Lost Customer
1625,14486.0,511,4,117.0,0,Lost Customer
2618,15509.0,379,21,117.06000000000003,2,Mid-Value
3586,16490.0,435,8,117.50999999999999,2,Mid-Value
257,13076.0,457,8,117.55000000000001,2,Mid-Value
4924,17859.0,304,15,118.31000000000002,2,Mid-Value
3815,16724.0,404,13,118.64999999999999,2,Mid-Value
4363,17280.0,437,6,118.85999999999999,2,Mid-Value
2089,14972.0,127,16,118.92000000000003,1,Low-Value
2793,15684.0,546,7,119.25,0,Lost Customer
3758,16666.0,18,26,119.28999999999999,1,Low-Value
4236,17153.0,23,8,119.38,1,Low-Value
2325,15209.0,729,8,119.39000000000001,0,Lost Customer
4289,17206.0,52,4,119.64,1,Low-Value
1405,14259.0,141,5,120.0,1,Low-Value
2372,15256.0,148,8,120.0,1,Low-Value
