CustomerID,Recency,Frequency,Monetary,Recency_NORM,Frequency_NORM,Monetary_NORM,R_CLUSTER,F_CLUSTER,M_CLUSTER,FinalCluster,Segment
8671,257,25,1678.2599999999998,-0.7181208053691275,12.0,18.89563106796116,2,1,1,4,High-Value
18614,38,16,1642.63,-1.4530201342281879,7.5,18.483818770226534,0,1,1,2,Mid-Value
11288,44,17,1625.0400000000004,-1.4328859060402686,8.0,18.280513176144247,0,1,1,2,Mid-Value
2066,24,23,1622.2900000000004,-1.5,11.0,18.248728617660657,0,1,1,2,Mid-Value
17104,5,58,1621.8200000000004,-1.563758389261745,28.5,18.243296347665282,0,1,1,2,Mid-Value
1412,67,5,1615.72,-1.3557046979865772,2.0,18.172792417938044,0,3,1,4,High-Value
18175,8,30,1611.3500000000006,-1.5536912751677852,14.5,18.122283865002316,0,1,1,2,Mid-Value
20250,0,17,1592.76,-1.580536912751678,8.0,17.907420249653256,0,1,1,2,Mid-Value
5610,12,23,1581.4500000000003,-1.5402684563758389,11.0,17.776699029126213,0,1,1,2,Mid-Value
11628,24,26,1576.2500000000005,-1.5,12.5,17.71659731853907,0,1,1,2,Mid-Value
7246,13,6,1570.67,-1.5369127516778522,2.5,17.652103559870547,0,3,1,4,High-Value
398,0,43,1569.3300000000002,-1.580536912751678,21.0,17.63661581137309,0,1,1,2,Mid-Value
9340,1,17,1556.19,-1.5771812080536913,8.0,17.484743411927877,0,1,1,2,Mid-Value
20944,108,15,1554.0800000000004,-1.2181208053691275,7.0,17.460355987055017,0,1,1,2,Mid-Value
14945,32,21,1549.4500000000003,-1.4731543624161074,10.0,17.406842348589922,0,1,1,2,Mid-Value
15953,7,14,1548.28,-1.5570469798657718,6.5,17.39331946370781,0,3,1,4,High-Value
18769,87,7,1546.0299999999997,-1.2885906040268456,3.0,17.3673139158576,0,3,1,4,High-Value
12476,4,47,1537.7800000000002,-1.5671140939597314,23.0,17.27196024040684,0,1,1,2,Mid-Value
5437,19,12,1536.75,-1.516778523489933,5.5,17.26005547850208,0,3,1,4,High-Value
9172,56,17,1533.6100000000001,-1.3926174496644295,8.0,17.223763291724456,0,1,1,2,Mid-Value
8481,56,13,1525.54,-1.3926174496644295,6.0,17.130490060101707,0,3,1,4,High-Value
21564,233,9,1516.3200000000002,-0.7986577181208053,4.0,17.02392510402219,2,3,1,6,Top Customer
95,6,29,1515.2700000000004,-1.5604026845637584,14.0,17.011789181692098,0,1,1,2,Mid-Value
4906,19,26,1506.3200000000004,-1.516778523489933,12.5,16.908344891354602,0,1,1,2,Mid-Value
7144,60,7,1498.21,-1.3791946308724832,3.0,16.81460933888118,0,3,1,4,High-Value
15562,20,46,1480.1100000000001,-1.5134228187919463,22.5,16.60540915395284,0,1,1,2,Mid-Value
8328,58,19,1460.9400000000005,-1.3859060402684564,9.0,16.383841886269074,0,1,1,2,Mid-Value
13449,324,16,1452.4400000000003,-0.49328859060402686,7.5,16.28559870550162,2,1,1,4,High-Value
96,3,19,1445.9899999999998,-1.570469798657718,9.0,16.211049468331016,0,1,1,2,Mid-Value
22586,16,20,1437.6399999999999,-1.5268456375838926,9.5,16.114539990753578,0,1,1,2,Mid-Value
20873,35,42,1437.2500000000005,-1.4630872483221478,20.5,16.11003236245955,0,1,1,2,Mid-Value
13472,24,34,1436.2400000000002,-1.5,16.5,16.09835876098012,0,1,1,2,Mid-Value
21922,12,25,1428.4200000000005,-1.5402684563758389,12.0,16.007975034674068,0,1,1,2,Mid-Value
22815,0,37,1373.14,-1.580536912751678,18.0,15.369047619047617,0,1,1,2,Mid-Value
2798,38,13,1358.49,-1.4530201342281879,6.0,15.199722607489596,0,3,1,4,High-Value
23443,14,7,1354.61,-1.5335570469798658,3.0,15.154877484974568,0,3,1,4,High-Value
22448,22,20,1350.59,-1.5067114093959733,9.5,15.108414239482197,0,1,1,2,Mid-Value
23474,329,4,1342.2800000000002,-0.47651006711409394,1.5,15.012367082755432,2,0,1,3,High-Value
8736,54,9,1335.5500000000002,-1.3993288590604027,4.0,14.934581599630143,0,3,1,4,High-Value
1590,109,11,1327.23,-1.2147651006711409,5.0,14.838418862690705,0,3,1,4,High-Value
5436,11,12,1324.5900000000001,-1.5436241610738255,5.5,14.807905686546462,0,3,1,4,High-Value
2432,32,12,1323.08,-1.4731543624161074,5.5,14.790453074433653,0,3,1,4,High-Value
4881,121,5,1319.8300000000002,-1.174496644295302,2.0,14.75288950531669,0,3,1,4,High-Value
5868,1,39,1318.3700000000001,-1.5771812080536913,19.0,14.73601479426722,0,1,1,2,Mid-Value
6057,34,53,1317.4100000000003,-1.4664429530201342,26.0,14.724919093851133,0,1,1,2,Mid-Value
15135,145,12,1307.53,-1.0939597315436242,5.5,14.61072584373555,0,3,1,4,High-Value
1909,3,8,1302.81,-1.570469798657718,3.5,14.556171983356446,0,3,1,4,High-Value
22013,10,45,1294.7400000000005,-1.5469798657718121,22.0,14.462898751733706,0,1,1,2,Mid-Value
15797,32,26,1290.5300000000002,-1.4731543624161074,12.5,14.414239482200648,0,1,1,2,Mid-Value
244,20,25,1287.41,-1.5134228187919463,12.0,14.378178455848357,0,1,1,2,Mid-Value
1794,1,39,1275.1800000000003,-1.5771812080536913,19.0,14.236823855755896,0,1,1,2,Mid-Value
10516,12,21,1256.3799999999999,-1.5402684563758389,10.0,14.019533055940819,0,1,1,2,Mid-Value
2388,31,27,1248.99,-1.476510067114094,13.0,13.93411927877947,0,1,1,2,Mid-Value
3195,0,26,1248.46,-1.580536912751678,12.5,13.927993527508088,0,1,1,2,Mid-Value
17477,117,16,1248.14,-1.1879194630872483,7.5,13.924294960702726,0,1,1,2,Mid-Value
8638,31,18,1244.8500000000004,-1.476510067114094,8.5,13.886269070735091,0,1,1,2,Mid-Value
1161,100,11,1244.3400000000001,-1.24496644295302,5.0,13.880374479889042,0,3,1,4,High-Value
6285,26,21,1241.52,-1.4932885906040267,10.0,13.84778085991678,0,1,1,2,Mid-Value
16026,63,25,1240.6900000000003,-1.3691275167785235,12.0,13.838187702265373,0,1,1,2,Mid-Value
10703,22,19,1235.9900000000002,-1.5067114093959733,9.0,13.783865002311604,0,1,1,2,Mid-Value
16438,27,9,1235.23,-1.4899328859060403,4.0,13.775080906148865,0,3,1,4,High-Value
21254,47,12,1228.36,-1.4228187919463087,5.5,13.695677300046228,0,3,1,4,High-Value
19802,44,14,1227.52,-1.4328859060402686,6.5,13.685968562182152,0,3,1,4,High-Value
22685,115,21,1226.3300000000002,-1.1946308724832215,10.0,13.67221451687471,0,1,1,2,Mid-Value
13563,18,15,1220.6200000000003,-1.5201342281879195,7.0,13.606218215441517,0,1,1,2,Mid-Value
10603,118,15,1208.73,-1.1845637583892616,7.0,13.468793342579747,0,1,1,2,Mid-Value
18580,71,19,1203.2200000000003,-1.342281879194631,9.0,13.405108645399908,0,1,1,2,Mid-Value
19808,28,9,1199.86,-1.4865771812080537,4.0,13.366273693943594,0,3,1,4,High-Value
15754,7,32,1195.7200000000005,-1.5570469798657718,15.5,13.318423485899217,0,1,1,2,Mid-Value
18423,50,17,1188.8800000000003,-1.412751677852349,8.0,13.239366620434582,0,1,1,2,Mid-Value
13497,55,20,1183.82,-1.395973154362416,9.5,13.180883032824777,0,1,1,2,Mid-Value
1722,0,52,1182.2700000000004,-1.580536912751678,25.5,13.162968099861306,0,1,1,2,Mid-Value
16211,20,24,1181.8700000000003,-1.5134228187919463,11.5,13.158344891354602,0,1,1,2,Mid-Value
17796,160,13,1177.8500000000001,-1.0436241610738255,6.0,13.111881645862228,0,3,1,4,High-Value
19573,124,14,1170.47,-1.1644295302013423,6.5,13.026583448913543,0,3,1,4,High-Value
15120,28,26,1169.4100000000003,-1.4865771812080537,12.5,13.014331946370783,0,1,1,2,Mid-Value
1868,7,25,1168.3700000000001,-1.5570469798657718,12.0,13.00231160425335,0,1,1,2,Mid-Value
17324,5,29,1165.9600000000003,-1.563758389261745,14.0,12.974456773000464,0,1,1,2,Mid-Value
15105,57,9,1165.73,-1.389261744966443,4.0,12.971798428109105,0,3,1,4,High-Value
10197,20,3,1164.76,-1.5134228187919463,1.0,12.960587147480348,0,0,1,1,Low-Value
16415,32,18,1157.4700000000003,-1.4731543624161074,8.5,12.876329172445677,0,1,1,2,Mid-Value
5551,44,21,1156.6200000000001,-1.4328859060402686,10.0,12.86650485436893,0,1,1,2,Mid-Value
14039,139,15,1156.47,-1.1140939597315436,7.0,12.864771151178916,0,1,1,2,Mid-Value
4532,19,20,1155.1400000000003,-1.516778523489933,9.5,12.84939898289413,0,1,1,2,Mid-Value
485,62,15,1154.7800000000002,-1.3724832214765101,7.0,12.845238095238095,0,1,1,2,Mid-Value
2941,139,12,1150.33,-1.1140939597315436,5.5,12.793804900601014,0,3,1,4,High-Value
5303,14,27,1148.0400000000002,-1.5335570469798658,13.0,12.767337031900139,0,1,1,2,Mid-Value
17041,34,12,1140.3100000000002,-1.4664429530201342,5.5,12.67799352750809,0,3,1,4,High-Value
12304,489,5,1134.15,0.06040268456375839,2.0,12.606796116504853,1,3,1,5,High-Value
2215,3,16,1126.2600000000002,-1.570469798657718,7.5,12.515603328710124,0,1,1,2,Mid-Value
15871,7,13,1125.89,-1.5570469798657718,6.0,12.511326860841423,0,3,1,4,High-Value
9939,142,15,1124.7500000000002,-1.104026845637584,7.0,12.49815071659732,0,1,1,2,Mid-Value
1760,19,47,1123.6900000000005,-1.516778523489933,23.0,12.485899214054557,0,1,1,2,Mid-Value
7991,60,13,1121.91,-1.3791946308724832,6.0,12.46532593619972,0,3,1,4,High-Value
9177,12,42,1120.6300000000003,-1.5402684563758389,20.5,12.450531668978272,0,1,1,2,Mid-Value
20585,12,14,1120.6100000000001,-1.5402684563758389,6.5,12.450300508552935,0,3,1,4,High-Value
18847,480,1,1119.68,0.030201342281879196,0.0,12.439551548774848,1,0,1,2,Mid-Value
4983,16,8,1118.0900000000001,-1.5268456375838926,3.5,12.421174294960702,0,3,1,4,High-Value
8496,10,33,1112.6000000000004,-1.5469798657718121,16.0,12.357720758206197,0,1,1,2,Mid-Value
1980,27,37,1110.2200000000003,-1.4899328859060403,18.0,12.33021266759131,0,1,1,2,Mid-Value
17151,16,13,1107.82,-1.5268456375838926,6.0,12.302473416551083,0,3,1,4,High-Value
111,10,16,1107.0400000000002,-1.5469798657718121,7.5,12.293458159963015,0,1,1,2,Mid-Value
7801,13,15,1105.74,-1.5369127516778522,7.0,12.278432732316226,0,1,1,2,Mid-Value
23286,55,15,1100.49,-1.395973154362416,7.0,12.21775312066574,0,1,1,2,Mid-Value
16833,22,25,1094.2,-1.5067114093959733,12.0,12.145053166897826,0,1,1,2,Mid-Value
7631,301,7,1084.1100000000001,-0.5704697986577181,3.0,12.028432732316226,2,3,1,6,Top Customer
13931,49,7,1079.82,-1.4161073825503356,3.0,11.978848821081828,0,3,1,4,High-Value
11675,142,6,1078.77,-1.104026845637584,2.5,11.966712898751732,0,3,1,4,High-Value
22461,37,18,1068.7300000000002,-1.4563758389261745,8.5,11.850670365233473,0,1,1,2,Mid-Value
20307,57,9,1063.5,-1.389261744966443,4.0,11.79022191400832,0,3,1,4,High-Value
4410,53,4,1062.42,-1.4026845637583893,1.5,11.777739251040222,0,0,1,1,Low-Value
4518,115,36,1053.9100000000003,-1.1946308724832215,17.5,11.679380490060105,0,1,1,2,Mid-Value
17339,11,21,1053.3700000000003,-1.5436241610738255,10.0,11.673139158576054,0,1,1,2,Mid-Value
8822,50,14,1051.6200000000001,-1.412751677852349,6.5,11.652912621359224,0,3,1,4,High-Value
3362,27,21,1045.83,-1.4899328859060403,10.0,11.585991678224685,0,1,1,2,Mid-Value
33,109,25,1045.4700000000003,-1.2147651006711409,12.0,11.581830790568656,0,1,1,2,Mid-Value
7029,50,15,1044.98,-1.412751677852349,7.0,11.576167360147942,0,1,1,2,Mid-Value
20420,3,11,1042.48,-1.570469798657718,5.0,11.547272306981045,0,3,1,4,High-Value
6242,171,16,1040.48,-1.0067114093959733,7.5,11.524156264447527,2,1,1,4,High-Value
3619,19,25,1039.7900000000002,-1.516778523489933,12.0,11.516181229773464,0,1,1,2,Mid-Value
20974,3,16,1031.04,-1.570469798657718,7.5,11.41504854368932,0,1,1,2,Mid-Value
6659,149,27,1028.6900000000003,-1.080536912751678,13.0,11.387887193712439,0,1,1,2,Mid-Value
17445,14,14,1027.2500000000002,-1.5335570469798658,6.5,11.371243643088304,0,3,1,4,High-Value
619,42,36,1025.0100000000002,-1.4395973154362416,17.5,11.345353675450765,0,1,1,2,Mid-Value
20964,28,8,1024.8799999999999,-1.4865771812080537,3.5,11.343851132686082,0,3,1,4,High-Value
887,115,13,1024.8400000000001,-1.1946308724832215,6.0,11.343388811835414,0,3,1,4,High-Value
3501,64,35,1022.7700000000001,-1.3657718120805369,17.0,11.319463707813222,0,1,1,2,Mid-Value
4388,333,4,1020.3799999999999,-0.46308724832214765,1.5,11.291840036985665,2,0,1,3,High-Value
6394,2,12,1019.6900000000003,-1.5738255033557047,5.5,11.283865002311607,0,3,1,4,High-Value
22356,105,8,1018.9200000000001,-1.2281879194630871,3.5,11.274965325936199,0,3,1,4,High-Value
6674,20,21,1018.0100000000002,-1.5134228187919463,10.0,11.264447526583451,0,1,1,2,Mid-Value
22753,23,13,1017.4200000000001,-1.5033557046979866,6.0,11.257628294036062,0,3,1,4,High-Value
11756,14,25,1009.3200000000003,-1.5335570469798658,12.0,11.164008321775315,0,1,1,2,Mid-Value
16719,52,12,1006.15,-1.4060402684563758,5.5,11.127369394359684,0,3,1,4,High-Value
15641,37,31,1005.7100000000003,-1.4563758389261745,15.0,11.122283865002315,0,1,1,2,Mid-Value
1745,60,11,1004.8600000000001,-1.3791946308724832,5.0,11.112459546925567,0,3,1,4,High-Value
15375,2,21,1003.4800000000001,-1.5738255033557047,10.0,11.09650947757744,0,1,1,2,Mid-Value
1817,63,21,999.69,-1.3691275167785235,10.0,11.05270457697642,0,1,1,2,Mid-Value
5731,54,11,998.1200000000001,-1.3993288590604027,5.0,11.03455848358761,0,3,1,4,High-Value
6120,62,21,991.3100000000002,-1.3724832214765101,10.0,10.955848358760981,0,1,1,2,Mid-Value
2761,498,7,990.28,0.09060402684563758,3.0,10.943943596856217,1,3,1,5,High-Value
6526,8,25,989.1800000000001,-1.5536912751677852,12.0,10.931229773462784,0,1,1,2,Mid-Value
14023,64,18,985.3700000000003,-1.3657718120805369,8.5,10.887193712436433,0,1,1,2,Mid-Value
13565,1,24,981.8000000000002,-1.5771812080536913,11.5,10.845931576514102,0,1,1,2,Mid-Value
17463,78,15,980.4100000000001,-1.3187919463087248,7.0,10.829865926953305,0,1,1,2,Mid-Value
5981,22,22,979.0100000000001,-1.5067114093959733,10.5,10.813684697179843,0,1,1,2,Mid-Value
18638,12,26,977.7900000000003,-1.5402684563758389,12.5,10.7995839112344,0,1,1,2,Mid-Value
13386,7,18,975.1600000000002,-1.5570469798657718,8.5,10.769186315302822,0,1,1,2,Mid-Value
7684,49,6,975.1,-1.4161073825503356,2.5,10.768492834026814,0,3,1,4,High-Value
15399,35,21,974.7700000000002,-1.4630872483221478,10.0,10.764678687008786,0,1,1,2,Mid-Value
2829,230,11,967.5799999999999,-0.8087248322147651,5.0,10.681576514100785,2,3,1,6,Top Customer
4272,16,13,959.91,-1.5268456375838926,6.0,10.592926490984743,0,3,1,4,High-Value
2954,241,9,959.29,-0.7718120805369127,4.0,10.58576051779935,2,3,1,6,Top Customer
11524,104,11,959.21,-1.2315436241610738,5.0,10.584835876098012,0,3,1,4,High-Value
1890,48,30,958.5500000000002,-1.419463087248322,14.5,10.577207582061952,0,1,1,2,Mid-Value
1258,36,12,958.2900000000001,-1.4597315436241611,5.5,10.574202496532594,0,3,1,4,High-Value
5600,27,20,955.58,-1.4899328859060403,9.5,10.542880258899675,0,1,1,2,Mid-Value
7203,11,27,952.7500000000002,-1.5436241610738255,13.0,10.51017105871475,0,1,1,2,Mid-Value
9973,200,17,944.7000000000002,-0.9093959731543624,8.0,10.417128987517337,2,1,1,4,High-Value
11364,124,24,944.2000000000002,-1.1644295302013423,11.5,10.411349976883958,0,1,1,2,Mid-Value
19667,8,15,943.73,-1.5536912751677852,7.0,10.40591770688858,0,1,1,2,Mid-Value
3870,75,13,942.5699999999999,-1.3288590604026846,6.0,10.392510402219138,0,3,1,4,High-Value
11341,109,17,940.48,-1.2147651006711409,8.0,10.368354137771613,0,1,1,2,Mid-Value
1385,40,13,938.45,-1.4463087248322148,6.0,10.344891354600092,0,3,1,4,High-Value
22085,18,24,935.5900000000003,-1.5201342281879195,11.5,10.311835413777164,0,1,1,2,Mid-Value
14604,14,26,934.4800000000002,-1.5335570469798658,12.5,10.29900601017106,0,1,1,2,Mid-Value
758,30,30,934.3900000000002,-1.4798657718120805,14.5,10.297965788257052,0,1,1,2,Mid-Value
4159,94,36,931.6800000000002,-1.2651006711409396,17.5,10.266643550624135,0,1,1,2,Mid-Value
22754,9,16,924.53,-1.5503355704697988,7.5,10.184003698566805,0,1,1,2,Mid-Value
18300,6,23,923.0600000000002,-1.5604026845637584,11.0,10.16701340730467,0,1,1,2,Mid-Value
7533,27,12,920.8499999999999,-1.4899328859060403,5.5,10.141470180305129,0,3,1,4,High-Value
3883,4,14,919.7400000000002,-1.5671140939597314,6.5,10.128640776699031,0,3,1,4,High-Value
23124,3,13,919.24,-1.570469798657718,6.0,10.122861766065649,0,3,1,4,High-Value
3314,17,21,919.1000000000001,-1.523489932885906,10.0,10.121243643088304,0,1,1,2,Mid-Value
5906,19,18,918.8800000000002,-1.516778523489933,8.5,10.118700878409618,0,1,1,2,Mid-Value
12601,4,17,913.94,-1.5671140939597314,8.0,10.061604253351826,0,1,1,2,Mid-Value
9440,387,5,913.9099999999999,-0.28187919463087246,2.0,10.061257512713821,1,3,1,5,High-Value
1845,85,17,911.51,-1.2953020134228188,8.0,10.033518261673601,0,1,1,2,Mid-Value
22918,109,8,911.23,-1.2147651006711409,3.5,10.030282015718909,0,3,1,4,High-Value
23379,371,6,907.97,-0.33557046979865773,2.5,9.992602866389273,2,3,1,6,Top Customer
9342,127,19,906.7100000000002,-1.1543624161073827,9.0,9.978039759593159,0,1,1,2,Mid-Value
19441,166,15,905.5,-1.023489932885906,7.0,9.964054553860379,0,1,1,2,Mid-Value
1689,20,13,904.7600000000001,-1.5134228187919463,6.0,9.955501618122979,0,3,1,4,High-Value
8125,19,33,901.8900000000002,-1.516778523489933,16.0,9.92233009708738,0,1,1,2,Mid-Value
11298,26,15,900.2700000000001,-1.4932885906040267,7.0,9.90360610263523,0,1,1,2,Mid-Value
23074,33,13,896.44,-1.4697986577181208,6.0,9.859338881183541,0,3,1,4,High-Value
16838,31,32,895.94,-1.476510067114094,15.5,9.853559870550162,0,1,1,2,Mid-Value
7901,238,13,895.4200000000001,-0.7818791946308725,6.0,9.847549699491447,2,3,1,6,Top Customer
1903,123,4,894.52,-1.167785234899329,1.5,9.837147480351362,0,0,1,1,Low-Value
12207,70,9,893.6300000000001,-1.3456375838926173,4.0,9.826860841423949,0,3,1,4,High-Value
11749,13,19,893.2900000000002,-1.5369127516778522,9.0,9.822931114193251,0,1,1,2,Mid-Value
3198,67,12,892.5600000000001,-1.3557046979865772,5.5,9.814493758668515,0,3,1,4,High-Value
3713,44,14,890.49,-1.4328859060402686,6.5,9.790568654646323,0,3,1,4,High-Value
4493,58,30,889.7600000000002,-1.3859060402684564,14.5,9.782131299121593,0,1,1,2,Mid-Value
2921,47,14,888.04,-1.4228187919463087,6.5,9.762251502542764,0,3,1,4,High-Value
21730,10,13,885.1400000000001,-1.5469798657718121,6.0,9.728733240869163,0,3,1,4,High-Value
14348,5,15,883.5600000000001,-1.563758389261745,7.0,9.710471567267684,0,1,1,2,Mid-Value
15196,41,16,881.5400000000002,-1.4429530201342282,7.5,9.687124364308831,0,1,1,2,Mid-Value
22949,45,6,879.6500000000001,-1.429530201342282,2.5,9.665279704114656,0,3,1,4,High-Value
2499,31,14,878.3700000000001,-1.476510067114094,6.5,9.650485436893204,0,3,1,4,High-Value
7426,34,18,878.1100000000001,-1.4664429530201342,8.5,9.647480351363848,0,1,1,2,Mid-Value
825,162,6,876.69,-1.0369127516778522,2.5,9.631067961165048,0,3,1,4,High-Value
9644,6,8,875.94,-1.5604026845637584,3.5,9.62239944521498,0,3,1,4,High-Value
15303,36,11,871.5,-1.4597315436241611,5.0,9.571081830790568,0,3,1,4,High-Value
3638,15,34,866.4200000000004,-1.5302013422818792,16.5,9.512367082755436,0,1,1,2,Mid-Value
7571,140,12,863.24,-1.110738255033557,5.5,9.475612575127137,0,3,1,4,High-Value
4903,18,10,860.7800000000002,-1.5201342281879195,4.5,9.447179842810913,0,3,1,4,High-Value
14749,68,9,860.1000000000001,-1.3523489932885906,4.0,9.439320388349515,0,3,1,4,High-Value
8587,104,16,860.04,-1.2315436241610738,7.5,9.438626907073507,0,1,1,2,Mid-Value
9908,1,39,857.8000000000001,-1.5771812080536913,19.0,9.412736939435968,0,1,1,2,Mid-Value
19511,79,10,857.57,-1.3154362416107384,4.5,9.410078594544613,0,3,1,4,High-Value
730,127,17,855.38,-1.1543624161073827,8.0,9.384766527970411,0,1,1,2,Mid-Value
11245,334,5,853.52,-0.4597315436241611,2.0,9.363268608414238,2,3,1,6,Top Customer
